Geneid,SRR29022831,SRR29022832,SRR29022833,SRR29022834,SRR29022835,SRR29022836,SRR29022837,SRR29022838
ENSG00000272449.4,48,55,71,46,23,66,39,35
ENSG00000238164.7,19,146,97,68,24,90,36,58
ENSG00000307979.1,0,0,0,1,0,0,0,0
ENSG00000157873.20,1317,4918,4837,2041,1854,2913,2049,2447
ENSG00000225931.3,0,6,8,7,0,0,2,19
ENSG00000307958.1,4,0,6,0,0,2,0,1
ENSG00000228037.2,7,34,76,8,15,21,12,14
ENSG00000289610.3,4,2,0,0,0,0,0,3
ENSG00000157870.19,2175,1937,2007,1697,1432,1146,1123,1245
ENSG00000142606.17,24,102,15,74,65,102,33,82
ENSG00000237058.2,2,0,0,6,0,1,0,4
ENSG00000215912.13,19,157,30,63,2,93,33,117
ENSG00000285945.1,0,0,2,0,0,1,0,10
ENSG00000283259.1,0,0,0,0,0,0,0,2
ENSG00000233234.1,0,0,0,0,0,0,0,0
ENSG00000287396.2,0,0,0,0,0,0,0,0
ENSG00000231630.1,0,0,0,0,0,0,0,0
ENSG00000302855.1,0,0,0,0,0,0,0,0
ENSG00000295089.1,0,0,0,0,0,0,0,0
ENSG00000300015.1,0,0,0,0,0,0,0,0
ENSG00000284745.2,0,0,0,0,0,0,0,0
ENSG00000169717.7,0,0,0,0,0,0,0,0
ENSG00000177133.15,31,186,57,66,15,295,66,202
ENSG00000142611.18,58,161,70,60,63,138,102,256
ENSG00000283572.1,0,0,0,0,0,0,0,0
ENSG00000226286.1,0,0,0,0,0,0,0,0
ENSG00000306427.1,0,0,0,0,0,0,0,0
ENSG00000279839.1,0,4,0,0,0,0,0,4
ENSG00000306439.1,0,0,0,0,0,0,2,0
ENSG00000272235.1,0,0,4,0,4,0,0,0
ENSG00000287828.2,10,2,22,0,8,2,10,0
ENSG00000286518.1,0,2,0,0,6,4,2,6
ENSG00000295754.1,0,0,0,0,0,0,0,0
ENSG00000297626.1,0,0,4,0,2,1,0,0
ENSG00000130762.17,730,1003,631,1655,4057,573,716,495
ENSG00000272088.1,2,6,0,0,2,2,0,2
ENSG00000162591.19,1207,4732,3369,2167,1451,2118,2915,3531
ENSG00000207776.1,0,0,0,0,0,0,0,0
ENSG00000309127.1,0,0,0,0,0,0,0,0
ENSG00000238260.4,73,77,39,50,14,27,21,68
ENSG00000158109.17,1483,4504,2388,3198,2787,3163,2194,2905
ENSG00000116213.18,1219,1297,1216,824,639,673,829,829
ENSG00000078900.18,34,273,142,36,74,103,87,201
ENSG00000227589.1,0,0,4,0,0,0,0,0
ENSG00000235131.1,0,0,0,0,0,0,0,0
ENSG00000293478.2,907,1772,792,1004,191,794,302,978
ENSG00000276189.1,0,0,0,0,0,0,0,0
ENSG00000227372.13,0,0,0,0,0,0,0,0
ENSG00000162592.11,14,17,8,12,5,12,2,7
ENSG00000296834.1,0,0,0,0,0,0,0,0
ENSG00000235169.13,246,372,87,321,698,297,168,225
ENSG00000130764.12,984,1555,1102,985,761,695,799,824
ENSG00000266075.2,0,3,10,5,0,2,4,2
ENSG00000272153.1,25,56,24,13,21,31,34,38
ENSG00000116198.16,1702,2133,2050,1806,1513,1269,1572,1755
ENSG00000169598.19,395,526,401,306,232,207,220,381
ENSG00000198912.13,1022,1315,1172,912,568,660,792,573
ENSG00000236423.9,28,38,36,24,17,19,14,10
ENSG00000233304.8,0,0,0,0,0,0,0,0
ENSG00000226374.4,0,0,0,0,0,0,0,0
ENSG00000284668.3,2,0,0,0,0,0,0,0
ENSG00000284703.2,0,0,0,0,0,0,0,0
ENSG00000296871.1,0,0,0,0,0,0,0,0
ENSG00000308587.1,0,0,0,0,0,0,0,0
ENSG00000229280.1,0,0,0,0,0,0,0,0
ENSG00000301255.1,2,0,0,0,0,0,0,0
ENSG00000299169.1,0,0,0,0,0,0,0,0
ENSG00000302287.1,0,18,0,22,0,4,0,0
ENSG00000235054.5,47,5,2,1,0,0,2,0
ENSG00000306535.1,0,0,0,0,0,0,0,0
ENSG00000284694.1,0,0,0,0,0,0,0,0
ENSG00000299517.1,0,0,0,0,0,0,0,0
ENSG00000227169.2,0,0,0,0,0,0,0,0
ENSG00000295490.1,0,0,0,0,0,0,0,0
ENSG00000232596.3,0,0,0,0,0,0,0,0
ENSG00000300565.1,0,0,0,0,0,0,0,2
ENSG00000303830.1,0,0,0,0,0,0,0,0
ENSG00000196581.13,1536,177,93,61,67,64,156,98
ENSG00000287586.1,0,3,0,0,0,0,2,0
ENSG00000284739.2,0,0,0,0,0,0,0,0
ENSG00000284674.1,0,0,0,0,0,0,0,0
ENSG00000309102.1,0,0,0,0,0,0,0,0
ENSG00000309111.1,0,0,0,0,0,0,0,0
ENSG00000231510.1,0,0,0,0,0,0,0,0
ENSG00000296716.1,0,0,0,0,2,0,0,0
ENSG00000302269.1,0,0,0,0,0,0,0,0
ENSG00000306645.1,0,0,1,0,0,0,0,0
ENSG00000284616.1,0,0,0,0,0,0,0,0
ENSG00000302445.1,0,8,0,1,4,0,0,0
