Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000100526.23,223.4012092465126,2.826258582930008,0.4300572082389102,6.57182004808982,4.970391221680215e-11,1.3912179649166678e-08
ENSG00000037042.11,740.940889996941,-1.6025422092649058,0.24432140662837554,-6.55915595518181,5.411318663493975e-11,1.4981706269332072e-08
ENSG00000189057.13,440.768452686669,3.0749826548251256,0.4690089222364116,6.556341487412323,5.514387549634383e-11,1.5102899492122298e-08
ENSG00000126787.15,377.42670651489885,4.476696059694178,0.6832400607443515,6.5521568726767425,5.6711918868045124e-11,1.5367120058382738e-08
ENSG00000171320.16,172.5294924034066,3.49662180878197,0.5361406836849397,6.521836367181457,6.945176161469754e-11,1.8621113895662748e-08
ENSG00000203805.12,94.58009520207285,5.252801751190371,0.8083685668507293,6.498028209649988,8.137954752671874e-11,2.159185890680264e-08
ENSG00000165194.17,248.44217460009162,-3.265227584404771,0.5040848230395683,-6.477535992287684,9.323253832644843e-11,2.448171117229864e-08
ENSG00000174371.19,338.7098542856889,4.328366912118376,0.6698424405983436,6.461768693324386,1.0348620177701906e-10,2.6896908627167884e-08
ENSG00000211659.2,3327.3481111071087,3.9703280419794322,0.6151785411978216,6.453944304118214,1.0897587488264253e-10,2.758267726590466e-08
ENSG00000165304.10,633.6033605672256,4.545063639115118,0.7042905678918523,6.453392742032344,1.0937342090441565e-10,2.758267726590466e-08
ENSG00000119950.22,2921.1715578447524,-1.6087123798475471,0.2492460742435975,-6.4543138130845445,1.0871033666685345e-10,2.758267726590466e-08
ENSG00000236313.1,41.69053633325168,-6.246396941862395,0.9704659417095566,-6.436492692220447,1.2226571917897593e-10,3.02352440117252e-08
ENSG00000151651.18,1352.6835251934856,2.624962140402212,0.4077501015728515,6.437673786656845,1.2131838369047664e-10,3.02352440117252e-08
ENSG00000154839.12,187.09620874770746,4.278421909942787,0.6653815500190149,6.430027868702581,1.2758055227607949e-10,3.1246194682923275e-08
ENSG00000091831.27,5284.929530995361,-4.585450144406889,0.7142100561024475,-6.420310250783062,1.3599688991055998e-10,3.2990255075351176e-08
ENSG00000283445.2,43.84551063342278,-3.139089819455896,0.48955045053137597,-6.412188602928693,1.4344521805229911e-10,3.4468803292548215e-08
ENSG00000132561.16,3298.494594567668,-2.210399701310076,0.3466650070663927,-6.376183509305697,1.8155536634830085e-10,4.321866108651935e-08
ENSG00000165480.18,192.86967613287973,3.469496130316649,0.5450880271743269,6.3650198818383785,1.9526444093931222e-10,4.605167199227057e-08
ENSG00000164611.15,477.93307916161245,3.329642230231916,0.5251300054745088,6.340605555805639,2.2886380464212803e-10,5.348064190862058e-08
ENSG00000135094.13,322.5628638463001,3.278822176721637,0.5178786838506948,6.331255328645513,2.4317454639101544e-10,5.6308171555686855e-08
ENSG00000184937.18,36.72093938378396,5.095554664334918,0.8052983131197039,6.327536741750864,2.4910566976205315e-10,5.7161896527110415e-08
ENSG00000253768.2,282.6293199838477,-5.637932995023798,0.8916729983767891,-6.3228706098392005,2.5674828265274864e-10,5.8389602745072866e-08
ENSG00000175063.19,1046.0355152681825,4.495473177320823,0.712189079883445,6.312190546443847,2.751131944125213e-10,6.201246172461354e-08
ENSG00000125931.13,49.33341346817968,-5.320499184671476,0.8431625947489075,-6.310169850758041,2.7872939962509625e-10,6.227646085834058e-08
ENSG00000164932.15,3284.4277474408045,2.784130309262406,0.44161191645409686,6.304472786009617,2.891765255582978e-10,6.404882854343829e-08
ENSG00000123485.13,478.83662469478605,4.283134330891799,0.680007484176693,6.298657633272269,3.0023430311497843e-10,6.592472357449669e-08
ENSG00000049249.11,298.4681227813584,4.198414821697912,0.6668942313713203,6.295473291266595,3.0646332782504577e-10,6.671732840198069e-08
ENSG00000093009.13,391.14640123693493,4.0659895868168885,0.6480493002999622,6.2741979428646335,3.51441177573814e-10,7.397982011555881e-08
ENSG00000100626.19,1300.6959859098397,-2.136608546567807,0.34038554204019067,-6.277024969278893,3.451126783761369e-10,7.397982011555881e-08
ENSG00000134760.7,545.6049485988456,-4.597193220212805,0.7325505565257042,-6.275598563484944,3.48291755347647e-10,7.397982011555881e-08
ENSG00000161888.13,213.30469951482982,3.981953157922224,0.6345757525982325,6.274984730535881,3.496686077160903e-10,7.397982011555881e-08
ENSG00000146410.14,94.23208061293191,4.044448087436648,0.6463008181129708,6.257841509848894,3.9034220408304363e-10,8.149513344425578e-08
ENSG00000179796.15,39.757227052109485,-5.148686049343194,0.8250799241232561,-6.240227035961729,4.3693624299149563e-10,9.048132557102753e-08
