Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Cellular_Component_2023	Collagen-Containing Extracellular Matrix (GO:0062023)	108/373	1.599453e-10	6.013942e-08	0	0	2.177756e+00	4.912188e+01	ADAMDEC1;SERPINE2;SERPINE1;LOXL4;PLAT;LOXL1;ICAM1;COMP;CDON;TGM2;POSTN;FIBCD1;P3H2;ADAM19;COL4A1;COL4A6;COL8A1;FREM1;MXRA5;FREM2;COL17A1;FBN2;SEMA7A;COL13A1;LTBP4;DPT;FBLN5;APOE;NDP;WNT2;ELANE;COL28A1;FN1;PRG2;COL1A1;COL1A2;CXCL12;COL5A1;COL5A2;OGN;CNTN1;COL9A3;FGF10;FGFR1;SRPX;TINAGL1;TGFB1I1;CTSZ;CTSS;HAPLN1;SERPINA5;ADAMTS4;CTSL;COL10A1;CTSH;CTSF;CTSD;CTSC;CTSB;MYOC;DST;COL25A1;MST1;BGN;NRG1;MMP8;MMP9;DCN;CCNA2;VCAN;ANGPTL7;ANGPTL6;MMRN2;ANGPTL5;COL6A6;COL6A5;ANGPTL1;MATN2;C1QB;ITIH5;C1QA;CSTB;LRRC15;TNXB;ITIH2;LAMA2;COL11A1;C17ORF58;LAMA3;PRELP;COL19A1;THSD4;ACAN;IGFBPL1;NCAM1;CTHRC1;GDF10;ANGPT4;LAMB3;F12;SULF1;MFAP4;COL3A1;COL7A1;MFAP2;MGP;FMOD;C1QC
GO_Cellular_Component_2023	Tertiary Granule (GO:0070820)	48/162	9.356216e-06	1.758969e-03	0	0	2.227280e+00	2.579072e+01	CDA;CSTB;TNFAIP6;CLEC12A;ITGB2;PTAFR;HBB;SLC2A3;FPR2;GPR84;CTSS;PLAU;CLEC5A;TBC1D10C;ITGAX;CTSH;OLR1;NCKAP1L;CTSD;CAMP;LAIR1;CD177;CD53;CHRNB4;FCER1G;SLC11A1;GGH;CYBA;KCNAB2;TMC6;LILRB2;LYZ;MMP8;ILF2;MMP9;OSCAR;CHIT1;DIAPH1;CLEC4C;NFASC;DOK3;RAP2B;QPCT;DSG1;ADAM8;ALDOC;PTPN6;DSC1
GO_Cellular_Component_2023	T Cell Receptor Complex (GO:0042101)	11/19	3.743211e-05	4.691492e-03	0	0	7.234801e+00	7.374419e+01	ZAP70;CD4;TRBV19;SYK;TRAT1;CD8A;TRBC2;TRBC1;CD3G;CD3E;CD3D
GO_Cellular_Component_2023	Endoplasmic Reticulum Lumen (GO:0005788)	71/284	5.784991e-05	5.437892e-03	0	0	1.765677e+00	1.722887e+01	ERO1A;COLGALT2;CTSZ;PCSK9;MYDGF;ADAMTS5;IL12B;COL10A1;CTSC;SGCG;ADAMTS7;IGFBP1;TOR3A;COL25A1;RNASET2;P3H2;PLAUR;PDIA6;PDIA5;CKAP4;F5;TRDN;CCNA2;F8;VCAN;VGF;IL23A;COL4A1;DNAJB11;MZB1;COL4A6;CASQ2;COL8A1;RDH5;COL17A1;ITIH2;COL13A1;COL11A1;PDGFA;TSPAN33;COL19A1;PDGFD;STC2;GPC3;ARSI;APOE;ARSG;APOB;ARSB;TXNDC5;COL28A1;F10;BDNF;COL22A1;TMEM132A;FN1;MANF;COL1A1;BMP4;COL3A1;COL1A2;COL5A1;P4HA1;P4HA3;COL7A1;COL5A2;CALU;COL9A3;HYOU1;CALR;PNPLA2
GO_Cellular_Component_2023	CMG Complex (GO:0071162)	7/10	2.050242e-04	1.541782e-02	0	0	1.226552e+01	1.041635e+02	GINS1;GINS2;GINS3;GINS4;MCM4;MCM6;MCM2
GO_Cellular_Component_2023	Ficolin-1-Rich Granule (GO:0101002)	48/184	3.037154e-04	1.903283e-02	0	0	1.864523e+00	1.510156e+01	CFD;CDA;CSTB;PSMD14;TNFAIP6;CTSZ;ITGB2;HBB;SLC2A3;FPR2;CTSS;HK3;PNP;PRDX4;PSMD2;COTL1;TBC1D10C;ITGAX;CTSH;NCKAP1L;CTSD;ARSB;CTSB;HSPA8;ACTR2;FCER1G;GSN;SLC11A1;PRG2;AMPD3;LILRB2;ILF2;MMP9;PSMA5;DIAPH1;CLEC4C;NFASC;DOK3;BIN2;GLB1;QPCT;CAT;DSG1;ADAM8;ALDOC;MNDA;PLEKHO2;DSC1
GO_Cellular_Component_2023	Tertiary Granule Membrane (GO:0070821)	23/72	5.931963e-04	3.186312e-02	0	0	2.473034e+00	1.837461e+01	CD53;CHRNB4;FCER1G;CLEC12A;SLC11A1;ITGB2;PTAFR;SLC2A3;CYBA;KCNAB2;TMC6;FPR2;GPR84;LILRB2;CLEC4C;RAP2B;PLAU;CLEC5A;ITGAX;OLR1;ADAM8;LAIR1;CD177
GO_Cellular_Component_2023	Cytoplasmic Side Of Plasma Membrane (GO:0009898)	34/124	8.488446e-04	3.989570e-02	0	0	1.992396e+00	1.408950e+01	BLK;PTPN22;RGS2;RACGAP1;GM2A;RGS1;PALM;AP2S1;PGM5;JAK3;CYTH1;G6PD;CARMIL2;SYK;STAC3;PTK6;KCNAB2;TRAF1;PLEKHA4;LILRB4;FRMD1;FGR;TIAM1;HCK;ZAP70;FRMD6;PTPRC;LCK;DSG1;PTPN7;FERMT2;MYD88;CDK16;GCOM1
GO_Cellular_Component_2023	Tertiary Granule Lumen (GO:1904724)	18/53	1.022735e-03	4.272758e-02	0	0	2.707592e+00	1.864251e+01	CDA;CSTB;TNFAIP6;HBB;GGH;MMP8;LYZ;ILF2;MMP9;CTSS;OSCAR;CHIT1;QPCT;CTSH;ALDOC;PTPN6;CTSD;CAMP
GO_Cellular_Component_2023	Lysosomal Lumen (GO:0043202)	25/86	1.624230e-03	5.208223e-02	0	0	2.159089e+00	1.386723e+01	PRELP;IFI30;CTSS;GM2A;CTSL;GPC3;CTSF;APOB;CTSD;ARSB;CTSB;TXNDC5;CTSA;HSPA8;BGN;KERA;DCN;VCAN;GLB1;OGN;SDC1;MAN2B1;HPSE;FMOD;LGMN
GO_Cellular_Component_2023	Voltage-Gated Sodium Channel Complex (GO:0001518)	5/7	1.656202e-03	5.208223e-02	0	0	1.313419e+01	8.410120e+01	SCN4A;SCN5A;SCN3B;SCN4B;SCN2B
GO_Cellular_Component_2023	Endocytic Vesicle Membrane (GO:0030666)	40/159	1.928650e-03	5.208223e-02	0	0	1.773051e+00	1.108322e+01	CAMK2B;GRIA2;TFRC;HVCN1;CAMK2A;STAB2;TGFA;CD3G;LRP2;CD3D;PIP4P2;RAC2;AP2S1;APOE;CD36;APOB;FCGR1A;HLA-DQA2;GRIA3;WLS;GRIA4;HLA-DPA1;MSR1;ATP6V0B;SLC11A1;CAV1;AVPR2;ENTPD7;TAP1;CYBA;MARCO;CD4;NOSTRIN;HLA-DRA;CALR;CLEC4E;IL7R;ATP6V0D2;HLA-DQB2;VAMP2
GO_Cellular_Component_2023	Specific Granule (GO:0042581)	40/159	1.928650e-03	5.208223e-02	0	0	1.773051e+00	1.108322e+01	CLEC12A;HVCN1;CTSZ;ITGB2;PTPRJ;SLC2A3;FPR2;GPR84;ITGAL;SLC2A5;MMP24;PLAU;CLEC5A;OLR1;CD36;CTSD;ELANE;CAMP;LAIR1;CD177;CD53;CHRNB4;AOC1;PLAUR;GGH;CYBA;KCNAB2;TMC6;LYZ;MMP8;ILF2;CKAP4;OSCAR;CHIT1;RAP2B;QPCT;ADAM8;PTPN6;HPSE;DOCK2
GO_Cellular_Component_2023	Alpha-Beta T Cell Receptor Complex (GO:0042105)	6/10	1.959938e-03	5.208223e-02	0	0	7.882040e+00	4.914328e+01	TRBV19;TRBC2;TRBC1;CD3G;CD3E;CD3D
GO_Cellular_Component_2023	Spindle (GO:0005819)	50/210	2.077749e-03	5.208223e-02	0	0	1.649548e+00	1.018838e+01	BUB1B;KIF11;CDC20;FBXO5;DLGAP5;CKAP2L;CD180;CKAP2;KIF23;TUBG2;HASPIN;KNSTRN;EML4;ANKFN1;TUBB2B;ESPL1;KIFC1;EFHC1;JTB;KIF2C;KIF20A;MAD1L1;TTK;WDR62;HMMR;SKA3;SKA1;AURKB;AURKA;RACGAP1;ECT2;SPAG5;TRAT1;PLK1;DCDC2;CDC7;CDC6;PYCR3;TUBB4A;DCDC1;TPX2;CENPE;DIAPH1;CENPF;PRC1;KIF4A;TACC3;CDK1;PTPN7;MAD2L1
GO_Cellular_Component_2023	External Side Of Apical Plasma Membrane (GO:0098591)	4/5	2.860142e-03	6.033710e-02	0	0	2.100938e+01	1.230495e+02	ABCC4;SLC7A5;LCT;ABCG2
GO_Cellular_Component_2023	Serine Protease Inhibitor Complex (GO:0097180)	4/5	2.860142e-03	6.033710e-02	0	0	2.100938e+01	1.230495e+02	PLAU;SERPINE1;PLAT;SERPINA5
GO_Cellular_Component_2023	Ficolin-1-Rich Granule Lumen (GO:1904813)	32/123	2.969725e-03	6.033710e-02	0	0	1.853309e+00	1.078493e+01	CFD;CDA;CSTB;PSMD14;TNFAIP6;CTSZ;HBB;CTSS;HK3;PNP;PRDX4;PSMD2;COTL1;CTSH;CTSD;ARSB;CTSB;HSPA8;ACTR2;GSN;PRG2;AMPD3;ILF2;MMP9;PSMA5;BIN2;GLB1;QPCT;CAT;ALDOC;MNDA;PLEKHO2
GO_Cellular_Component_2023	Mitotic Spindle (GO:0072686)	36/143	3.106751e-03	6.033710e-02	0	0	1.773741e+00	1.024189e+01	WDR62;KIF11;SKA3;SKA1;AURKA;RACGAP1;ECT2;DLGAP5;SPAG5;CKAP2L;TRAT1;CD180;CKAP2;DCDC2;CDC7;KIF23;CDC6;PYCR3;KNSTRN;TUBB4A;DCDC1;EML4;DIAPH1;TPX2;CENPE;KIF18A;TUBB2B;KIF18B;ESPL1;KIFC1;CDK1;EFHC1;TACC3;PTPN7;MAD1L1;MAD2L1
GO_Cellular_Component_2023	Specific Granule Membrane (GO:0035579)	25/90	3.209420e-03	6.033710e-02	0	0	2.025738e+00	1.163111e+01	CLEC12A;HVCN1;ITGB2;PTPRJ;SLC2A3;FPR2;GPR84;ITGAL;SLC2A5;MMP24;PLAU;CLEC5A;OLR1;CD36;LAIR1;CD177;CD53;CHRNB4;PLAUR;CYBA;KCNAB2;TMC6;CKAP4;RAP2B;ADAM8
GO_Cellular_Component_2023	Sodium Channel Complex (GO:0034706)	8/18	4.119314e-03	7.375533e-02	0	0	4.204884e+00	2.309351e+01	GRIK5;GRIK3;SCN4A;SCN5A;SCN2A;SCN3B;SCN4B;SCN2B
GO_Cellular_Component_2023	Sarcolemma (GO:0042383)	16/52	5.816594e-03	9.941088e-02	0	0	2.338286e+00	1.203525e+01	SYNM;CCDC78;CAV2;CAV1;DYSF;SLC2A1;SLC2A4;SLC2A5;SGCZ;RYR3;NOS1AP;FXYD1;SSPN;PGM5;SCN5A;SGCG
GO_Cellular_Component_2023	Nuclear Chromosome (GO:0000228)	25/95	6.859996e-03	1.121460e-01	0	0	1.880480e+00	9.368644e+00	TOP2A;BLM;IHO1;NCAPG2;NCAPG;SMC4;MACROH2A1;NCAPH;TFPT;CDC45;CHEK1;RCC1;SHOC1;GINS1;H2AZ1;GINS2;GINS3;GINS4;BAZ1A;SMC1A;RAD51;BIRC5;MCM4;MCM6;MCM2
GO_Cellular_Component_2023	Condensed Nuclear Chromosome (GO:0000794)	10/28	8.878408e-03	1.315912e-01	0	0	2.920496e+00	1.379681e+01	IHO1;RAD51;NCAPG2;CHEK1;NCAPG;RCC1;SHOC1;SMC1A;SMC4;NCAPH
GO_Cellular_Component_2023	Dendrite Membrane (GO:0032590)	10/28	8.878408e-03	1.315912e-01	0	0	2.920496e+00	1.379681e+01	LAMP5;SGCE;KCNC2;KCNB1;GPER1;KCNC4;THY1;FOXM1;SHISA8;GABRG1
GO_Cellular_Component_2023	Secretory Granule Membrane (GO:0030667)	60/279	9.099393e-03	1.315912e-01	0	0	1.445637e+00	6.793840e+00	PIGR;MOXD1;SIGLEC9;ITGB2;LPCAT1;PTPRJ;SLC2A3;ITGAL;SLC2A5;SIRPB1;SERPINA5;MMP24;PLAU;CLEC5A;CA4;TBC1D10C;ITGAX;OLR1;CD36;SGCG;CD177;CD53;ABCC4;CHRNB4;FCER1G;MME;SLC11A1;NFAM1;PLAUR;CYBA;TMC6;KCNAB2;SYTL4;CKAP4;CLEC4C;RAP2B;DOK3;RAB31;TYROBP;DSG1;ADAM8;DSC1;VAMP2;CLEC12A;HVCN1;PTAFR;C5AR1;ITPR1;FPR2;GPR84;NCKAP1L;LAIR1;ABCA3;LILRB2;LILRB3;DIAPH1;NFASC;PTPRC;SELL;RAB9B
