Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2023	Fibroblast Growth Factor Binding (GO:0017134)	6/20	8.710469e-02	9.297919e-01	0	0	2.250670e+00	5.493087e+00	KLB;KL;SCN5A;CXCL13;FGFR4;FGFR1
GO_Molecular_Function_2023	Pyridoxal Phosphate Binding (GO:0030170)	6/20	8.710469e-02	9.297919e-01	0	0	2.250670e+00	5.493087e+00	SDS;CBS;PSAT1;PYGM;ACCS;THNSL2
GO_Molecular_Function_2023	Serine-Type Endopeptidase Activity (GO:0004252)	26/125	9.267236e-02	9.778531e-01	0	0	1.380855e+00	3.284619e+00	CFD;PCSK9;PLAT;KLK3;CTSS;KLK6;PLAU;CTSH;ELANE;F10;MMP1;F12;GZMA;MMP3;OVCH2;GZMB;MMP8;MMP9;GZMH;MMP12;GZMK;MMP11;MMP13;CNTN1;ADAM8;MASP2
GO_Molecular_Function_2023	3',5'-Cyclic-Nucleotide Phosphodiesterase Activity (GO:0004114)	5/16	9.894536e-02	9.981521e-01	0	0	2.386755e+00	5.521011e+00	PDE11A;PDE1C;PDE2A;PDE5A;PDE8B
GO_Molecular_Function_2023	Four-Way Junction DNA Binding (GO:0000400)	5/16	9.894536e-02	9.981521e-01	0	0	2.386755e+00	5.521011e+00	GEN1;RAD51B;BLM;XRCC2;HMGB3
GO_Molecular_Function_2023	Glutamate Receptor Activity (GO:0008066)	5/16	9.894536e-02	9.981521e-01	0	0	2.386755e+00	5.521011e+00	GRIA2;GRM4;GRM8;GRIK3;GRIA4
GO_Molecular_Function_2023	Hexose Transmembrane Transporter Activity (GO:0015149)	5/16	9.894536e-02	9.981521e-01	0	0	2.386755e+00	5.521011e+00	SLC2A1;SLC2A3;SLC2A4;SLC2A5;SLC2A6
GO_Molecular_Function_2023	Amino Acid Transmembrane Transporter Activity (GO:0015171)	13/56	1.021400e-01	9.999946e-01	0	0	1.588418e+00	3.623834e+00	SLC36A1;SLC43A2;SLC7A14;SLC6A12;SLC1A3;SLC16A10;SLC7A10;SLC7A3;SLC7A5;SLC7A6;SLC7A7;SLC38A5;SLC25A13
GO_Molecular_Function_2023	Protein Serine/Threonine Kinase Activator Activity (GO:0043539)	13/56	1.021400e-01	9.999946e-01	0	0	1.588418e+00	3.623834e+00	SH2D1A;DAB2IP;IGF2;STK4;CKS1B;TCL1A;CCNB1;DBF4;CD40LG;CKS2;CCNYL1;SPRY2;CDK5R1
GO_Molecular_Function_2023	Cyclin-Dependent Protein Serine/Threonine Kinase Regulator Activity (GO:0016538)	11/46	1.069533e-01	9.999946e-01	0	0	1.651010e+00	3.690606e+00	CCNA2;CCNB2;CCNB1;CDKN2A;CCNE1;CCNF;CKS2;CCNYL1;CKS1B;CDK5R1;MCM2
GO_Molecular_Function_2023	Phosphatidylinositol-3,4,5-Trisphosphate Binding (GO:0005547)	9/36	1.101471e-01	9.999946e-01	0	0	1.750809e+00	3.862177e+00	ARHGAP9;JPH2;OBSCN;RACGAP1;ARAP2;BTK;DAPP1;FERMT2;MYO1G
