Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	cGMP-PKG signaling pathway	32/167	1.562894e-01	6.650427e-01	0	0	1.245977e+00	2.312591e+00	MYLK2;IRS1;NPR1;ITPR1;ATP2A3;ADCY4;IRS2;GATA4;ATP1A2;ADCY1;CACNA1F;ADRA1A;ADCY7;MYLK;PIK3R5;ADCY5;RGS2;EDNRB;CREB3L1;KCNMB1;CREB3L2;PDE2A;ATP1B2;ADRA2C;ADRA2B;NFATC4;AGTR1;PPIF;VDAC1;PDE5A;SLC25A5;MYL9
KEGG_2021_Human	Measles	27/139	1.617596e-01	6.650427e-01	0	0	1.266935e+00	2.307904e+00	TNFAIP3;CD3G;FASLG;CD3E;IL2RG;CD3D;IFIH1;CASP8;IRAK1;IL12B;BAK1;IKBKE;JAK3;SLAMF1;HSPA8;STAT1;OAS1;CCNE1;OAS2;OAS3;IL2RA;IL2RB;IRF7;CYCS;BAX;MYD88;RAB9B
KEGG_2021_Human	Lysosome	25/128	1.656295e-01	6.650427e-01	0	0	1.275475e+00	2.293307e+00	CTSZ;CTSS;GM2A;CTSL;LAMP3;ACP5;CTSH;AP1S3;ARSG;CTSF;CTSD;ARSB;CTSC;CTSB;CTSA;ATP6V0B;DNASE2B;SLC11A1;LAPTM5;AP3B2;GLB1;MAN2B1;DNASE2;ATP6V0D2;LGMN
KEGG_2021_Human	Viral carcinogenesis	38/203	1.675228e-01	6.650427e-01	0	0	1.210692e+00	2.163066e+00	CDC20;CASP8;CREB3L1;CHEK1;CREB3L2;CCR8;BAK1;H4C4;CCR5;CCR4;JAK3;H4C8;H2BC9;RANBP1;H2BC7;GSN;H2BC8;SYK;H2BC5;CDKN2A;H2BC6;H2BC4;TRAF1;H2BC17;YWHAZ;CCNA2;H2BC12;H2BC13;RBL1;CCNE1;MAPKAPK2;H2BC11;CDK1;IRF7;BAX;IL6ST;ATP6V0D2;MAD1L1
KEGG_2021_Human	Melanoma	15/72	1.680896e-01	6.650427e-01	0	0	1.382343e+00	2.465074e+00	PDGFRA;CDKN2A;PDGFA;FGF1;FGF2;IGF1R;FGF9;PDGFD;E2F1;E2F2;BAX;E2F3;BAK1;FGF10;FGFR1
KEGG_2021_Human	AGE-RAGE signaling pathway in diabetic complications	20/100	1.690357e-01	6.650427e-01	0	0	1.313482e+00	2.334905e+00	EGR1;CXCL8;PRKCB;STAT1;SERPINE1;FN1;VEGFD;ICAM1;COL1A1;DIAPH1;COL3A1;COL1A2;COL4A1;AGTR1;COL4A6;NOX4;CCL2;BAX;PLCD3;PLCD4
KEGG_2021_Human	Progesterone-mediated oocyte maturation	20/100	1.690357e-01	6.650427e-01	0	0	1.313482e+00	2.334905e+00	PLK1;ADCY4;ADCY1;CDC25C;PKMYT1;ADCY7;CDC25A;IGF1R;ADCY5;AURKA;CCNA2;CCNB2;RPS6KA6;CCNB1;CPEB1;CDK1;PGR;BUB1;MAD1L1;MAD2L1
KEGG_2021_Human	PD-L1 expression and PD-1 checkpoint pathway in cancer	18/89	1.718913e-01	6.650427e-01	0	0	1.331862e+00	2.345266e+00	CD274;STAT1;CD3G;CD3E;CD3D;HIF1A;RASGRP1;BATF;EML4;ZAP70;CD4;IFNG;LCK;PRKCQ;PTPN6;PDCD1;NFKBIE;MYD88
KEGG_2021_Human	Parathyroid hormone synthesis, secretion and action	21/106	1.731222e-01	6.650427e-01	0	0	1.298049e+00	2.276463e+00	EGR1;KL;PRKCB;ITPR1;ADCY4;GATA3;PTH1R;ADCY1;ADCY7;RUNX2;PTHLH;ADCY5;CYP27B1;MMP25;MMP24;MMP13;CREB3L1;CREB3L2;TNFSF11;RXRG;FGFR1
KEGG_2021_Human	cAMP signaling pathway	40/216	1.784575e-01	6.772786e-01	0	0	1.194727e+00	2.058998e+00	GLP1R;CAMK2B;GRIA2;OXTR;ADCYAP1R1;NPR1;PTGER3;CAMK2A;ADCY4;ATP2A3;ATP1A2;ADCY1;CACNA1F;ADCY7;GLI3;ADCY5;LIPE;CREB3L1;CREB3L2;RAC2;DRD2;GRIA3;GRIA4;GABBR2;ABCC4;GABBR1;EDN2;BDNF;NPY1R;ATP1B2;SSTR1;GRIN2B;VAV1;TSHR;TIAM1;CAMK4;FXYD1;MYL9;RAPGEF3;HCN2
